,Flow,Kinematic,Geometric,Inertial,Observer
0,-17.04768667660043,-0.5843443207111462,-6.8963265831585145,-14.323560282742855,0.0
1,-17.043179306214142,-0.5843443207111462,-6.8963265831585145,-14.323560282742855,0.0
2,-17.043179306214142,-0.5843443207111462,-6.8963265831585145,-14.323560282742855,0.0
3,-11.182193210214665,1.242506468328179,-5.069475794119189,-11.583284099183869,0.0
4,-11.184429990185434,1.242506468328179,-5.069475794119189,-11.583284099183869,0.0
5,-11.201048240789785,1.242506468328179,-5.069475794119189,-11.583284099183869,0.0
6,-11.128809980461135,1.242506468328179,-5.069475794119189,-11.583284099183869,1.0
7,-11.144379056976163,1.242506468328179,-5.069475794119189,-11.583284099183869,1.0
8,-11.155447147167221,1.242506468328179,-5.069475794119189,-11.583284099183869,1.0
9,-15.523253296817732,-0.5843443207111462,-6.4536824718085954,-14.323560282742855,0.0
10,-15.554249757189066,-0.5843443207111462,-6.4536824718085954,-14.323560282742855,0.0
11,-15.41671123542705,-0.5843443207111462,-6.4536824718085954,-14.323560282742855,0.0
12,-11.440165467617938,0.6626879730752367,-5.206650178022213,-12.453011842063281,0.0
13,-11.38718010198161,0.6626879730752367,-5.206650178022213,-12.453011842063281,0.0
14,-11.312858550450299,0.6626879730752367,-5.206650178022213,-12.453011842063281,0.0
15,-11.302639044616816,0.6097655716208943,-5.206650178022213,-12.453011842063281,0.0
16,-11.45220434633589,0.6097655716208943,-5.206650178022213,-12.453011842063281,0.0
17,-11.465641241008132,0.6097655716208943,-5.206650178022213,-12.453011842063281,0.0
18,-11.370382394588486,0.5538851132264376,-5.206650178022213,-12.453011842063281,0.0
19,-11.525903434551196,0.5538851132264376,-5.206650178022213,-12.453011842063281,0.0
20,-11.503419593973398,0.5538851132264376,-5.206650178022213,-12.453011842063281,0.0
21,-11.475855834417851,0.494696241836107,-5.206650178022213,-12.453011842063281,0.0
22,-11.491985216347734,0.494696241836107,-5.206650178022213,-12.453011842063281,0.0
23,-11.593187096856703,0.494696241836107,-5.206650178022213,-12.453011842063281,0.0
24,-11.492984716680818,0.43178241642553783,-5.206650178022213,-12.453011842063281,0.0
25,-11.653253363943858,0.43178241642553783,-5.206650178022213,-12.453011842063281,0.0
26,-11.588204074088278,0.43178241642553783,-5.206650178022213,-12.453011842063281,0.0
27,-11.557772956885739,0.36464311358790924,-5.206650178022213,-12.453011842063281,0.0
28,-11.654529145533015,0.36464311358790924,-5.206650178022213,-12.453011842063281,0.0
29,-11.714328447491175,0.36464311358790924,-5.206650178022213,-12.453011842063281,0.0
30,-11.617736421653294,0.29266961396282004,-5.206650178022213,-12.453011842063281,0.0
31,-11.650270195313448,0.29266961396282004,-5.206650178022213,-12.453011842063281,0.0
32,-11.766961916301963,0.29266961396282004,-5.206650178022213,-12.453011842063281,0.0
33,-11.338251116405694,0.6626879730752367,-5.206650178022213,-12.453011842063281,1.0
34,-11.256262882826665,0.6626879730752367,-5.206650178022213,-12.453011842063281,1.0
35,-11.404792004645357,0.6626879730752367,-5.206650178022213,-12.453011842063281,1.0
36,-11.316440643832804,0.6097655716208943,-5.206650178022213,-12.453011842063281,1.0
37,-11.554490421699132,0.6097655716208943,-5.206650178022213,-12.453011842063281,1.0
38,-11.316440643832804,0.6097655716208943,-5.206650178022213,-12.453011842063281,1.0
39,-11.410775160922192,0.5538851132264376,-5.206650178022213,-12.453011842063281,1.0
40,-11.448033328818552,0.5538851132264376,-5.206650178022213,-12.453011842063281,1.0
41,-11.549310282967005,0.5538851132264376,-5.206650178022213,-12.453011842063281,1.0
42,-11.475855834417851,0.494696241836107,-5.206650178022213,-12.453011842063281,1.0
43,-11.428512793392162,0.494696241836107,-5.206650178022213,-12.453011842063281,1.0
44,-11.63867959549854,0.494696241836107,-5.206650178022213,-12.453011842063281,1.0
45,-11.470250724201728,0.43178241642553783,-5.206650178022213,-12.453011842063281,1.0
46,-11.619058298911211,0.43178241642553783,-5.206650178022213,-12.453011842063281,1.0
47,-11.617295407313181,0.43178241642553783,-5.206650178022213,-12.453011842063281,1.0
48,-11.565235678087328,0.36464311358790924,-5.206650178022213,-12.453011842063281,1.0
49,-11.579538113355596,0.36464311358790924,-5.206650178022213,-12.453011842063281,1.0
50,-11.717525892261666,0.36464311358790924,-5.206650178022213,-12.453011842063281,1.0
